University,The Pennsylvania State University
Motto,Making Life Better
Type,Public state-related land-grant flagship research university
Established,1855; 166 years ago (1855)
Academic affiliations,AAUAPLUBTAACDIOCRLORAUUCARURASea-grantSpace-grantSun-grant
Endowment,$4.55 billion (2019) •  $2.2 billion (University Park)
President,Eric J. Barron
Provost,Nicholas P. Jones
Academic staff,"8,864"
Students,"96,408 • 46,723 (University Park)"
Undergraduates,"81,080 •  40,639 (University Park)"
Postgraduates,"15,328 •  6,084 (University Park)"
Location,"University Park, Pennsylvania, United StatesCoordinates: 40°47′46″N 77°51′46″W﻿ / ﻿40.79611°N 77.86278°W﻿ / 40.79611; -77.86278"
Campus,"Rural/College town, 7,343 acres (29.72 km)"
Newspaper,The Daily Collegian
Colors,Nittany Navy and White Out   
Nickname,Nittany Lions
Sporting affiliations,"NCAA Division I – Big Ten
MAISA"
Mascot,Nittany Lion
Website,www.psu.edu
